,AGENCY,APPLIANCE,Adopt-A-Basket,Air Quality,Animal Abuse,Animal Facility - No Permit,Animal in a Park,Asbestos,BEST/Site Safety,Beach/Pool/Sauna Complaint,Bike Rack Condition,Bike/Roller/Skate Chronic,Blocked Driveway,Boilers,Bottled Water,Bridge Condition,Broken Muni Meter,Broken Parking Meter,Building Condition,Building/Use,Bus Stop Shelter Placement,CONSTRUCTION,Calorie Labeling,City Vehicle Placard Complaint,Collection Truck Noise,Construction,Consumer Complaint,Cranes and Derricks,Curb Condition,DOOR/WINDOW,DPR Internal,Damaged Tree,Dead Tree,Derelict Bicycle,Derelict Vehicle,Derelict Vehicles,Dirty Conditions,Disorderly Youth,Drinking,Drinking Water,EAP Inspection - F59,ELECTRIC,ELEVATOR,Electrical,Elevator,Emergency Response Team (ERT),FLOORING/STAIRS,Fire Alarm - Addition,Fire Alarm - Modification,Fire Alarm - New System,Fire Alarm - Reinspection,Fire Alarm - Replacement,Fire Safety Director - F58,Food Establishment,Food Poisoning,For Hire Vehicle Complaint,For Hire Vehicle Report,Found Property,GENERAL,GENERAL CONSTRUCTION,Gas Station Discharge Lines,General Construction/Plumbing,Graffiti,HEAT/HOT WATER,HEATING,Harboring Bees/Wasps,Hazardous Materials,Hazmat Storage/Use,Highway Condition,Highway Sign - Damaged,Highway Sign - Dangling,Highway Sign - Missing,Homeless Encampment,Homeless Person Assistance,Illegal Animal Kept as Pet,Illegal Animal Sold,Illegal Fireworks,Illegal Parking,Illegal Tree Damage,Indoor Air Quality,Indoor Sewage,Industrial Waste,Investigations and Discipline (IAD),Lead,Legal Services Provider Complaint,Lifeguard,Literature Request,Litter Basket / Request,Maintenance or Facility,Miscellaneous Categories,Missed Collection (All Materials),Mold,Municipal Parking Facility,NONCONST,New Tree Request,Noise,Noise - Commercial,Noise - Helicopter,Noise - House of Worship,Noise - Park,Noise - Residential,Noise - Street/Sidewalk,Noise - Vehicle,Non-Emergency Police Matter,Non-Residential Heat,OUTSIDE BUILDING,Open Flame Permit,Other Enforcement,Overflowing Litter Baskets,Overflowing Recycling Baskets,Overgrown Tree/Branches,PAINT - PLASTER,PAINT/PLASTER,PLUMBING,Panhandling,Plant,Plumbing,Poison Ivy,Posting Advertisement,Public Assembly,Public Assembly - Temporary,Public Payphone Complaint,Public Toilet,Radioactive Material,Rangehood,Recycling Enforcement,Request Xmas Tree Collection,Rodent,Root/Sewer/Sidewalk Condition,SAFETY,SG-99,Sanitation Condition,Scaffold Safety,School Maintenance,Senior Center Complaint,Sewer,Sidewalk Condition,Smoking,Snow,Special Enforcement,Special Natural Area District (SNAD),Special Projects Inspection Team (SPIT),Sprinkler - Mechanical,Squeegee,Stalled Sites,Standing Water,Standpipe - Mechanical,Street Condition,Street Light Condition,Street Sign - Damaged,Street Sign - Dangling,Street Sign - Missing,Sweeping/Inadequate,Sweeping/Missed,Tanning,Tattooing,Taxi Complaint,Taxi Report,Traffic,Traffic Signal Condition,Trans Fat,Transportation Provider Complaint,UNSANITARY CONDITION,Unleashed Dog,Unsanitary Animal Facility,Unsanitary Animal Pvt Property,Unsanitary Pigeon Condition,Urinating in Public,VACANT APARTMENT,Vacant Lot,Vending,Violation of Park Rules,WATER LEAK,Water Conservation,Water Quality,Water System,Window Guard,X-Ray Machine/Equipment,total_calls,Total Population,Neighborhood
0,,0.00038406995982,,0.000295438430631,0.0016839990546,,,5.90876861262e-05,2.95438430631e-05,,,,0.0122016071851,,,,0.000413613802883,2.95438430631e-05,,0.0041656818719,,2.95438430631e-05,,,,2.95438430631e-05,0.0019203497991,,0.000147719215316,0.00141810446703,2.95438430631e-05,0.00339754195226,0.00274757740487,,0.0036043488537,0.00156582368234,0.00428385724415,,5.90876861262e-05,,,0.00147719215316,,0.000324982273694,0.000265894587568,,0.00103403450721,,2.95438430631e-05,5.90876861262e-05,2.95438430631e-05,,,0.000324982273694,0.000147719215316,0.000147719215316,,,0.000738596076578,0.000502245332073,,0.00171354289766,0.00103403450721,0.00502245332073,0.00212715670054,5.90876861262e-05,8.86315291893e-05,,,,,,5.90876861262e-05,5.90876861262e-05,,,2.95438430631e-05,0.00555424249586,0.00047270148901,5.90876861262e-05,0.000118175372252,0.000147719215316,2.95438430631e-05,0.000206806901442,,,,0.000206806901442,0.000236350744505,,0.00147719215316,2.95438430631e-05,,0.000413613802883,0.00109312219333,0.002806665091,0.000236350744505,,2.95438430631e-05,0.000236350744505,0.0153923422359,0.000974946821082,0.000620420704325,0.000709052233515,8.86315291893e-05,0.000177263058379,,0.00038406995982,5.90876861262e-05,,0.00336799810919,0.000649964547388,0.00434294493028,0.00330891042307,,,0.000443157645947,8.86315291893e-05,,,,2.95438430631e-05,,2.95438430631e-05,,8.86315291893e-05,0.000147719215316,0.00262940203262,0.00286575277712,0.00124084140865,,0.00289529662018,,0.000265894587568,,0.00354526116757,0.00038406995982,0.000206806901442,0.00245213897424,0.00047270148901,,5.90876861262e-05,,,,0.000206806901442,,0.00977901205389,0.0143583077287,0.000945402978019,0.000177263058379,0.000236350744505,8.86315291893e-05,5.90876861262e-05,,,0.000324982273694,,8.86315291893e-05,0.00159536752541,,,0.0041656818719,8.86315291893e-05,,5.90876861262e-05,2.95438430631e-05,,,0.000206806901442,5.90876861262e-05,,0.00177263058379,0.000915859134956,0.000118175372252,0.00652918931695,,,0.156848262822,1.0,Allerton-Pelham Gardens
1,,0.000138633764253,,0.000277267528507,0.0010397532319,6.93168821266e-05,3.46584410633e-05,0.00010397532319,3.46584410633e-05,3.46584410633e-05,,,0.00301528437251,0.00010397532319,,,0.00031192596957,3.46584410633e-05,,0.00253006619762,,,,3.46584410633e-05,,,0.000381242851697,,,0.000173292205317,0.000138633764253,0.00724361418223,0.0068970297716,,0.00315391813676,0.00155962984785,0.00353516098846,0.00010397532319,3.46584410633e-05,3.46584410633e-05,,0.000346584410633,,0.000173292205317,,,3.46584410633e-05,,,,,,,0.000277267528507,3.46584410633e-05,3.46584410633e-05,,,0.00010397532319,0.000173292205317,,0.00197553114061,0.00020795064638,0.000762485703393,0.00020795064638,3.46584410633e-05,0.000450559733823,,0.000485218174886,,,,6.93168821266e-05,3.46584410633e-05,0.000138633764253,3.46584410633e-05,3.46584410633e-05,0.0103628738779,0.00041590129276,3.46584410633e-05,3.46584410633e-05,0.000450559733823,3.46584410633e-05,0.00010397532319,,,,0.000242609087443,0.0010397532319,,0.00987765570305,6.93168821266e-05,,3.46584410633e-05,0.00356981942952,0.00176758049423,0.000762485703393,3.46584410633e-05,,3.46584410633e-05,0.00485218174886,0.00051987661595,0.000346584410633,0.00107441167296,,,,0.000554535057013,0.000138633764253,,0.00665442068416,0.00010397532319,0.00020795064638,0.000589193498076,,,0.000450559733823,0.00020795064638,3.46584410633e-05,,,3.46584410633e-05,,3.46584410633e-05,,3.46584410633e-05,0.000381242851697,0.00162894672998,0.00478286486674,0.000277267528507,,0.00506013239524,,0.000554535057013,,0.00710498041798,0.000450559733823,,0.00447093889717,0.000346584410633,0.000138633764253,,,,,0.00183689737636,,0.033410737185,0.0170172945621,0.000866461026583,0.000450559733823,0.00107441167296,,,,,3.46584410633e-05,,0.000346584410633,0.00346584410633,,,0.000797144144456,0.00010397532319,0.00010397532319,0.000346584410633,3.46584410633e-05,,,0.000866461026583,3.46584410633e-05,6.93168821266e-05,0.000173292205317,0.00100509479084,0.00051987661595,0.00942709596922,,,0.178525629917,1.0,Annadale-Huguenot-Prince's Bay-Eltingville
2,,0.000117178345442,,0.000117178345442,0.000859307866573,,3.90594484806e-05,7.81188969612e-05,,7.81188969612e-05,,3.90594484806e-05,0.00484337161159,3.90594484806e-05,,,3.90594484806e-05,,,0.00265604249668,,,,,,,0.000234356690884,,,0.000429653933286,,0.00285133973908,0.0028122802906,,0.00328099367237,0.000820248418092,0.00347629091477,0.000156237793922,,,,0.000273416139364,,7.81188969612e-05,,,0.000546832278728,,,,,,,3.90594484806e-05,,,,,0.000468713381767,0.000351535036325,,0.00144519959378,0.000156237793922,0.000507772830248,0.000117178345442,7.81188969612e-05,0.000234356690884,,,,,,3.90594484806e-05,,,,3.90594484806e-05,0.0183970002344,0.000195297242403,0.000117178345442,0.000117178345442,0.00066401062417,,7.81188969612e-05,,7.81188969612e-05,,0.000156237793922,0.000585891727209,,0.00730411686587,,,7.81188969612e-05,0.00222638856339,0.00253886415124,,3.90594484806e-05,,3.90594484806e-05,0.00578079837513,0.000546832278728,0.000312475587845,0.00117178345442,,0.000156237793922,,0.000468713381767,0.000117178345442,,0.0042184204359,3.90594484806e-05,0.000351535036325,0.000742129521131,,,0.000351535036325,3.90594484806e-05,,,,,,,,0.000117178345442,0.000585891727209,0.00207015076947,0.00308569642997,,,0.00289039918756,,3.90594484806e-05,,0.00632763065386,0.000468713381767,,0.00398406374502,0.000195297242403,7.81188969612e-05,0.000117178345442,,,,0.0012108429029,,0.0319506288571,0.00718693852043,0.00144519959378,0.000195297242403,0.000351535036325,,,,,,,0.000195297242403,0.000585891727209,,,0.000898367315054,0.000117178345442,,0.000781188969612,3.90594484806e-05,,,3.90594484806e-05,,,0.000156237793922,0.00191391297555,0.000429653933286,0.0145691742833,,,0.156276853371,1.0,Arden Heights
3,,0.000661521499449,1.29710097931e-05,0.00058369544069,0.00136195602828,,1.29710097931e-05,0.000181594137104,5.18840391724e-05,1.29710097931e-05,,7.78260587587e-05,0.0197029638757,0.000155652117517,1.29710097931e-05,,0.00482521564304,3.89130293793e-05,,0.00269797003697,2.59420195862e-05,1.29710097931e-05,,6.48550489656e-05,2.59420195862e-05,0.00247746287048,0.00269797003697,,0.000181594137104,0.00238666580193,1.29710097931e-05,0.0013100719891,0.000830144626759,0.000142681107724,0.00185485440042,0.00146572410662,0.0045268824178,3.89130293793e-05,0.000246449186069,2.59420195862e-05,,0.00210130358648,7.78260587587e-05,0.000285362215448,0.000402101303586,,0.00110253583241,,,5.18840391724e-05,,,3.89130293793e-05,0.001504637136,0.000441014332966,0.000324275244828,1.29710097931e-05,1.29710097931e-05,0.00226992671379,0.000674492509242,,0.00201050651793,0.00224398469421,0.0130228938323,0.00701731629807,1.29710097931e-05,0.000246449186069,,,,,,0.000259420195862,0.000363188274207,2.59420195862e-05,1.29710097931e-05,1.29710097931e-05,0.00690057720994,0.000648550489656,0.000428043323173,7.78260587587e-05,0.000142681107724,6.48550489656e-05,0.000272391205655,,,,0.000272391205655,0.000492898372138,,0.00171217329269,3.89130293793e-05,3.89130293793e-05,0.000700434528828,0.00322978143848,0.00735456255269,0.0165120954666,2.59420195862e-05,0.000155652117517,0.000233478176276,0.0214281081782,0.0037745638498,0.00134898501848,0.000752318568001,0.000389130293793,9.07970685518e-05,,0.000830144626759,7.78260587587e-05,,0.00103768078345,0.000687463519035,0.00438420131007,0.00400804202607,,1.29710097931e-05,0.000298333225242,,3.89130293793e-05,,,6.48550489656e-05,,,,0.000129710097931,1.29710097931e-05,0.0030222452818,0.000869057656139,0.000596666450483,,0.00247746287048,2.59420195862e-05,0.000233478176276,3.89130293793e-05,0.00220507166483,0.000622608470069,0.000298333225242,0.00202347752773,0.00114144886179,,0.000363188274207,,,,0.000142681107724,,0.00736753356249,0.00544782411311,0.000220507166483,9.07970685518e-05,0.000272391205655,3.89130293793e-05,0.000142681107724,,,0.002256955704,3.89130293793e-05,0.000311304235035,0.00518840391724,,,0.00443608534924,3.89130293793e-05,2.59420195862e-05,7.78260587587e-05,0.000155652117517,5.18840391724e-05,,0.000116739088138,0.000453985342759,1.29710097931e-05,0.00171217329269,0.000402101303586,0.000285362215448,0.00438420131007,1.29710097931e-05,,0.209520721188,1.0,Astoria
4,,0.000285727891804,,0.000476213153007,0.000619077098909,4.76213153007e-05,,4.76213153007e-05,9.52426306015e-05,,,,0.00876232201533,,,,0.00109529025192,,,0.00504785942188,,,,,4.76213153007e-05,0.00495261679128,0.000714319729511,4.76213153007e-05,0.000190485261203,0.00109529025192,,0.0102385827897,0.00476213153007,,0.0062860136197,0.00119053288252,0.00352397733225,,9.52426306015e-05,,,0.000571455783609,,0.000142863945902,4.76213153007e-05,9.52426306015e-05,0.000285727891804,,,,9.52426306015e-05,,0.000142863945902,0.00066669841421,9.52426306015e-05,4.76213153007e-05,,,0.000571455783609,,,0.00247630839564,0.000761941044812,0.00233344444974,0.000857183675413,4.76213153007e-05,4.76213153007e-05,,9.52426306015e-05,,,,4.76213153007e-05,4.76213153007e-05,,,4.76213153007e-05,0.00785751702462,0.000523834468308,0.000380970522406,4.76213153007e-05,4.76213153007e-05,4.76213153007e-05,9.52426306015e-05,,,,9.52426306015e-05,0.000380970522406,,0.00871470070003,,,,0.00433353969237,0.00347635601695,0.000285727891804,,9.52426306015e-05,4.76213153007e-05,0.00895280727654,0.00066669841421,0.000571455783609,0.000857183675413,4.76213153007e-05,,,0.000380970522406,9.52426306015e-05,,0.00590504309729,,0.000571455783609,0.00166674603553,,,0.000428591837707,,,,,,,,,4.76213153007e-05,0.000142863945902,0.00066669841421,0.00314300680985,0.000523834468308,,0.00285727891804,,0.000190485261203,,0.00728606124101,0.000190485261203,4.76213153007e-05,0.00204771655793,0.00123815419782,4.76213153007e-05,9.52426306015e-05,,,,0.000619077098909,,0.0177151292919,0.0146197437973,0.00214295918853,0.000190485261203,0.00209533787323,4.76213153007e-05,,,,0.000190485261203,,,0.00385732653936,,,0.00104766893662,,,0.000190485261203,0.000333349207105,,,4.76213153007e-05,0.000142863945902,,9.52426306015e-05,0.00104766893662,0.000238106576504,0.0156197914186,,,0.184484975475,1.0,Auburndale
5,,0.000753599784686,,0.000107657112098,0.00196474229579,,5.3828556049e-05,0.000134571390122,,,,,0.0108733683219,8.07428340735e-05,,,2.69142780245e-05,,,0.00643251244785,,5.3828556049e-05,,,,0.00126497106715,0.00183017090567,,2.69142780245e-05,0.00161485668147,,0.0039563988696,0.00129188534518,,0.00446777015207,0.00312205625084,0.00651325528193,8.07428340735e-05,2.69142780245e-05,,,0.00322971336294,,0.000215314224196,5.3828556049e-05,,0.000807428340735,,,5.3828556049e-05,2.69142780245e-05,,0.000753599784686,0.000296057058269,0.000188399946171,0.000134571390122,,,0.00196474229579,0.00024222850222,,0.00339119903109,0.000215314224196,0.0053828556049,0.00551742699502,2.69142780245e-05,0.000161485668147,,0.000592114116539,,,,0.000161485668147,2.69142780245e-05,5.3828556049e-05,,8.07428340735e-05,0.00465617009824,0.00024222850222,0.000161485668147,0.000188399946171,5.3828556049e-05,5.3828556049e-05,2.69142780245e-05,,,,0.000107657112098,0.000511371282465,,0.00470999865429,5.3828556049e-05,,0.000269142780245,0.000457542726416,0.000915085452833,0.000699771228637,,0.000215314224196,0.000161485668147,0.0240344502759,0.000888171174808,0.000888171174808,0.00150719956937,,0.000134571390122,,0.000565199838514,2.69142780245e-05,,0.00497914143453,0.000107657112098,0.00347194186516,0.00519445565873,,,0.00024222850222,2.69142780245e-05,,,,2.69142780245e-05,,,,5.3828556049e-05,8.07428340735e-05,0.00312205625084,0.00180325662764,0.000753599784686,,0.00473691293231,,0.000296057058269,2.69142780245e-05,0.0117884537747,0.000188399946171,0.000107657112098,0.00191091373974,0.000457542726416,,8.07428340735e-05,,,,0.00024222850222,,0.00931234019647,0.0122998250572,0.000161485668147,0.000134571390122,0.000269142780245,,,,,0.000269142780245,2.69142780245e-05,0.000161485668147,0.00164177095949,,,0.00452159870811,0.000107657112098,,0.00024222850222,5.3828556049e-05,,,0.00102274256493,5.3828556049e-05,,0.00166868523752,0.00158794240345,0.000161485668147,0.00796662629525,,,0.19114520253,1.0,Baisley Park
6,,0.000687457033935,,0.000156240234985,0.000781201174927,,9.37441409912e-05,,,,,,0.0128116992688,6.24960939941e-05,,,0.00159365039685,,,0.00384350978064,3.12480469971e-05,0.000124992187988,,,6.24960939941e-05,6.24960939941e-05,0.00124992187988,,0.0010311855509,0.00234360352478,,0.00293731641772,0.0010311855509,6.24960939941e-05,0.00168739453784,0.00184363477283,0.00334354102869,,9.37441409912e-05,,,0.0021248671958,0.000218736328979,3.12480469971e-05,0.00187488281982,,0.0010936816449,,,,,,,0.000781201174927,0.000187488281982,0.000343728516968,,,0.0031873007937,0.000562464845947,,0.00343728516968,0.00121867383289,0.00884319730017,0.00724954690332,,0.000249984375977,,0.00265608399475,,,,0.000124992187988,6.24960939941e-05,0.000124992187988,,9.37441409912e-05,0.020936191488,9.37441409912e-05,0.000281232422974,0.000124992187988,0.000218736328979,,0.000187488281982,,,,0.000281232422974,0.00074995312793,,0.00343728516968,0.000218736328979,,0.000718705080932,0.00149990625586,0.00240609961877,0.0010936816449,,0.000124992187988,0.000156240234985,0.00696831448034,0.000406224610962,0.000718705080932,0.000656208986938,,,,0.000593712892944,,,0.00349978126367,0.000656208986938,0.00462471095557,0.00309355665271,,,0.000374976563965,,,,,3.12480469971e-05,,,,0.000124992187988,0.000156240234985,0.00206237110181,0.00128116992688,0.00174989063184,,0.00459346290857,,0.000624960939941,3.12480469971e-05,0.00334354102869,0.000249984375977,0.000124992187988,0.00193737891382,0.000156240234985,,0.000249984375977,,,,0.000312480469971,,0.0095619023811,0.00612461721142,0.000562464845947,0.000218736328979,0.000656208986938,0.000187488281982,0.000499968751953,,3.12480469971e-05,0.000187488281982,,0.000406224610962,0.00399975001562,,,0.0074682832323,3.12480469971e-05,,0.000187488281982,0.000156240234985,6.24960939941e-05,,9.37441409912e-05,9.37441409912e-05,3.12480469971e-05,0.00246859571277,0.000249984375977,0.000124992187988,0.00684332229236,3.12480469971e-05,,0.181832385476,1.0,Bath Beach
7,,0.000211839472755,,0.00216547016594,0.00037660350712,,7.0613157585e-05,0.00037660350712,,2.3537719195e-05,,0.000305990349535,0.00108273508297,7.0613157585e-05,,0.00023537719195,0.00736730610804,4.707543839e-05,,0.000447216664705,2.3537719195e-05,,2.3537719195e-05,0.00023537719195,9.415087678e-05,,0.00602565611392,0.00032952806873,2.3537719195e-05,0.000400141226315,0.00014122631517,0.00014122631517,0.000117688595975,0.00014122631517,0.000353065787925,0.00023537719195,0.00211839472755,2.3537719195e-05,0.00014122631517,2.3537719195e-05,0.00209485700836,0.00018830175356,4.707543839e-05,0.00051782982229,0.00176532893963,7.0613157585e-05,4.707543839e-05,7.0613157585e-05,0.000164764034365,9.415087678e-05,0.000211839472755,2.3537719195e-05,0.00630810874426,0.00242438507709,0.00080028245263,0.00127103683653,2.3537719195e-05,0.00028245263034,0.00084735789102,0.000164764034365,,0.00543721313405,0.000211839472755,0.00221254560433,0.00169471578204,,0.000494292103095,,0.000870895610215,2.3537719195e-05,,,0.00148287630929,0.00117688595975,2.3537719195e-05,4.707543839e-05,,0.00826173943745,7.0613157585e-05,0.0009415087678,2.3537719195e-05,0.00014122631517,4.707543839e-05,0.00037660350712,4.707543839e-05,,,7.0613157585e-05,0.00101212192539,,0.00127103683653,7.0613157585e-05,,0.000400141226315,0.00042367894551,0.0415440743792,0.00442509120866,0.00065905613746,,0.000400141226315,0.00830881487584,0.00875603154054,0.00178886665882,0.000494292103095,0.00080028245263,,2.3537719195e-05,0.0009415087678,0.00014122631517,,4.707543839e-05,0.000117688595975,0.00028245263034,0.000400141226315,9.415087678e-05,,0.00023537719195,,,2.3537719195e-05,,0.000541367541485,2.3537719195e-05,,,0.00018830175356,0.000164764034365,0.00183594209721,2.3537719195e-05,0.000164764034365,,0.00136518771331,0.000164764034365,0.00032952806873,7.0613157585e-05,0.00197716841238,0.0028245263034,0.00042367894551,0.00061198069907,0.000635518418265,,0.000729669295045,,,,0.000353065787925,,0.0212310227139,0.00899140873249,0.00536659997646,0.00112981052136,0.00089443332941,,2.3537719195e-05,,,0.011227492056,0.00037660350712,0.00075320701424,0.00529598681888,,,0.00117688595975,2.3537719195e-05,7.0613157585e-05,7.0613157585e-05,4.707543839e-05,7.0613157585e-05,,2.3537719195e-05,0.00176532893963,0.000164764034365,0.00028245263034,0.00014122631517,0.00018830175356,0.00477815699659,4.707543839e-05,,0.213675414852,1.0,Battery Park City-Lower Manhattan
8,,0.000722414997809,,0.00111322966875,0.000864529423608,,0.000118428688165,0.000201328769881,1.18428688165e-05,,,,0.0123521121757,0.000189485901065,,,0.00466609031372,2.36857376331e-05,,0.00230935941923,3.55286064496e-05,5.92143440827e-05,,0.000142114425799,2.36857376331e-05,1.18428688165e-05,0.00210803064934,2.36857376331e-05,0.00030791458923,0.00225014507514,2.36857376331e-05,0.00371866080839,0.000864529423608,0.000153957294615,0.00138561565154,0.0019303876171,0.00337521761271,3.55286064496e-05,0.000130271556982,1.18428688165e-05,,0.00206065917408,9.47429505323e-05,0.000367128933313,0.000568457703194,5.92143440827e-05,0.00142114425799,,,,1.18428688165e-05,,2.36857376331e-05,0.00137377278272,0.000284228851597,0.000236857376331,,1.18428688165e-05,0.00197775909236,0.00113691540639,,0.00305546015467,0.00390814670946,0.0147917431519,0.00793472210708,4.73714752662e-05,0.000296071720414,,0.00254621679556,,,,8.29000817158e-05,0.000284228851597,7.10572128993e-05,5.92143440827e-05,5.92143440827e-05,0.0179893177323,0.000414500408579,0.000793472210708,9.47429505323e-05,0.000106585819349,4.73714752662e-05,0.000390814670946,1.18428688165e-05,,,0.000201328769881,0.00124350122574,8.29000817158e-05,0.00229751655041,4.73714752662e-05,,0.00104217245586,0.00201328769881,0.00485557621478,0.00534113383626,0.000118428688165,,0.000177643032248,0.01601155864,0.00176458745366,0.00118428688165,0.000734257866626,0.00034344319568,0.000165800163432,,0.000900058030057,0.000118428688165,,0.00273570269662,0.000757943604259,0.00614644891579,0.00409763261052,,0.00152773007733,0.00030791458923,1.18428688165e-05,7.10572128993e-05,,,0.000248700245147,,,1.18428688165e-05,7.10572128993e-05,0.000106585819349,0.00133824417627,0.00108954393112,0.000757943604259,,0.00313836023638,3.55286064496e-05,0.000142114425799,3.55286064496e-05,0.00317388884283,0.000971115242956,0.000260543113964,0.00306730302348,0.000402657539762,,0.000319757458047,,,1.18428688165e-05,0.000130271556982,,0.0130508414358,0.00603986309644,0.00117244401284,0.00034344319568,0.000390814670946,0.000130271556982,0.000296071720414,,,0.000592143440827,,0.000331600326863,0.00348180343206,,,0.00634777768567,2.36857376331e-05,3.55286064496e-05,0.000296071720414,4.73714752662e-05,2.36857376331e-05,,0.000165800163432,7.10572128993e-05,9.47429505323e-05,0.00273570269662,0.00027238598278,0.000165800163432,0.00426343277396,,,0.211762337309,1.0,Bay Ridge
9,,0.000214284183684,,0.000299997857158,0.000792851479632,,2.14284183684e-05,0.000149998928579,,2.14284183684e-05,,,0.00891422204127,4.28568367369e-05,,,0.00374997321448,4.28568367369e-05,,0.00462853836758,,,,2.14284183684e-05,,0.00520710566353,0.00143570403069,,0.000128570510211,0.00027856943879,,0.00861422418411,0.00439282576553,,0.00274283755116,0.00068570938779,0.00379283005121,,8.57136734738e-05,,,0.000707137806159,,0.000171427346948,2.14284183684e-05,,0.000192855765316,,,,4.28568367369e-05,,,0.000899993571474,0.000257141020421,8.57136734738e-05,,,0.000664280969422,0.000257141020421,,0.00299997857158,0.00068570938779,0.0011571345919,0.000942850408211,0.000107142091842,0.000192855765316,,0.00104999250005,,,,4.28568367369e-05,,2.14284183684e-05,,2.14284183684e-05,0.0067928086228,0.000664280969422,0.000471425204106,8.57136734738e-05,0.000192855765316,2.14284183684e-05,0.000364283112263,,,,0.000128570510211,0.000385711530632,,0.00602138556153,,2.14284183684e-05,0.000192855765316,0.00396425739816,0.00486425096964,0.00126427668374,6.42852551053e-05,2.14284183684e-05,4.28568367369e-05,0.00512139199006,0.000428568367369,0.00027856943879,0.000557138877579,8.57136734738e-05,0.000128570510211,,0.000664280969422,6.42852551053e-05,2.14284183684e-05,0.00544281826558,0.000149998928579,0.00117856301026,0.00111427775516,,,0.00068570938779,4.28568367369e-05,2.14284183684e-05,,,2.14284183684e-05,,,,8.57136734738e-05,0.000214284183684,0.00102856408169,0.00312854908179,0.000149998928579,,0.00276426596953,,6.42852551053e-05,,0.00822851265348,0.000578567295948,2.14284183684e-05,0.00263569545932,0.00130713352047,,0.000299997857158,,,,0.000492853622474,,0.0189855786744,0.0128999078578,0.00340711852058,0.000578567295948,0.00199284290826,,,2.14284183684e-05,,0.000428568367369,,0.000128570510211,0.00254998178584,,,0.00111427775516,0.000107142091842,,0.000257141020421,0.000107142091842,4.28568367369e-05,,8.57136734738e-05,4.28568367369e-05,,0.000664280969422,0.000899993571474,0.000192855765316,0.00857136734738,,,0.172434482611,1.0,Bayside-Bayside Hills
