,Population under 18,population between 18 and 34,population between 35 to 64,population 65 and over,Population white,population black,Population asian,population hispanic,population other race,family households,nonfamily households,population education high school or less,population education bachelors,population education masters,population education phd,owner  occupied units,renter occupied units,transportation car,number of cars,transportation public,tranportation motorcycle,household income less than 40,household income from 40 to 75,household income 75 and above,house value less than 100,house value for 100 to 500,house value 500 or more,rent less than 1000,rent bewteen 1000 and 2000,rent 2000 or more,Transportation Other means,population between 18 and 34_n,population between 35 to 64_n,population 65 and over_n,Population white_n,population black_n,Population asian_n,population hispanic_n,population other _n,family households_n,nonfamily households_n,population education high school and less_n,population education bachelors_n,population education masters_n,population education phd_n,household income less than 10_n,owner  occupied units_n,renter occupied units_n,transportation car_n,transportation public_n,tranportation motorcycle_n,household income less than 10_n,household income form 10 to 40_n,household income form 40 to 75_n,household income 75 and above_n,house value less than 100_n,house value for 100 to 500_n,house value 500 or more_n,rent less than 1000_n,rent bewteen 1000 and 2000_n,rent 2000 or more_n,Transportation Other means_n
Hazardous Materials,,,,,5.952254492000707e-05,6.5224580747032506e-05,0.00012230790430931392,7.0958079777525603e-05,0.00049227384116956249,0.00019273945085758305,0.00016302760247223849,0.00019967798967703519,0.00050863978786883242,0.0010644938485674447,0.0028893739127379813,0.0002263900964955117,0.0001069855412651529,0.00025165880231814251,,0.00014094675372445229,0.040856637645486388,0.00058140703590840769,0.00098617408901221864,0.00022041857737047148,,,,0.00028652893228007034,0.00023504429475743418,0.00026626627471197959,0.00038605260244990898,0.00097220001517776193,0.0015849169780998468,0.0036071637111994206,,,,,,,,0.00055497162311982757,0.0040322217265796149,0.0088650656829931222,0.016542552712473069,,0.00027602408134276937,0.00017850987173934887,0.00075521513304242012,0.0015229991260133908,0.039568594411270357,,,,,0.0025766534864567485,0.00035540791507882675,0.00017743521759067653,,,,0.0011415520937302481
Homeless Encampment,0.00050701746690218067,0.00056412405062949977,0.00076234913903487286,0.0012408440239694263,,,,,,0.00037042095679678763,0.00031331852520776783,,,,,0.00054230828315542708,0.00025627951974970523,0.00048320577442560666,,0.00027062945805527799,0.078448133155127914,0.0012860372209513588,0.0021813574767390789,0.00048755257019667247,,,,0.00053689166816525387,0.00044042087652668756,0.00049892394205597584,0.00074125301804466612,0.0017956802378024869,0.002927385364843008,0.0066625308471474701,0.00050231351904082573,0.00070545508058319725,0.0019087603366012339,0.0010217702105027812,0.015111584269524256,0.00031355411452701576,0.00045225720892827287,0.00093098643179807491,0.006764208404645743,0.014871491665589751,0.027750774059472155,0.00568515234539038,0.0005152284052877212,0.00033320772628590671,0.0013664054571711787,0.0027555516646867052,0.071591181069614401,0.00568515234539038,0.0034881143349982176,0.0034805575384446613,0.0004080871542164061,0.004988603272067637,0.0006880976031119634,0.00034352849993426549,0.0015438392549209671,0.00087090066707093058,0.0004622802512628131,0.0020654022175567036
Homeless Person Assistance,0.00028789244337687611,0.0003203184543042986,0.00043287375814480753,0.00070457063361699531,,,,,,0.00021370513012501256,0.00018076130675521128,,,,,,,0.00027303459382978685,,0.00015291871097015269,0.044326983050184982,0.00071271460486126278,0.0012088960620791058,0.00027019889607841864,,,,0.00030714497780811212,0.00025195596871393805,0.00028542440160116448,0.00041884374611936325,0.00083214781062503724,0.0013565986142338067,0.003087526576814379,0.00023907020998946497,0.00033575304637471347,0.00090845202685801204,0.00048629951121428232,0.0071921807549341172,0.00014633261100870191,0.0002110639764042393,0.00048837385297671114,0.0035483465795888153,0.0078012390258018049,0.014557411351672725,0.00262360794187127,0.0002404432519109601,0.00015549909214593901,0.00062548220221676125,0.0012613741510653107,0.032771392531925139,0.00262360794187127,0.0016097096287800438,0.0016062222866212905,0.00018832577101402019,0.0023142905071343676,0.00031921916095843374,0.00015936820447909938,0.00073600044889201221,0.00041518783763363446,0.00022038464908755043,0.00094545313817413171
Illegal Parking,0.0040095153248492377,0.0044611165763868863,0.0060286888625785129,0.0098126464168006231,0.00087188531067951529,0.00095540864264109533,0.001791564276873563,0.001039392847116901,0.0072108195562595144,0.0033872799106616476,0.0028651120477954832,0.0034292278781611844,0.008735272942816466,0.018281393895956281,0.049621501037839695,0.0038307289834883587,0.0018102939133944678,0.0041539540088495579,,0.0023265084601644843,0.67439164524445805,0.010441240964998388,0.017710279822682549,0.0039584032138369101,0.040647312047746964,0.0070092886200641864,0.0054227938543536386,,,,0.0063722974948688862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Illegal Tree Damage,0.0001678324974495538,0.00018673587098878765,0.00025235217381066043,0.00041074315005467353,3.7214836045924182e-05,4.0779877304088063e-05,7.6469657204824405e-05,4.4364590065883074e-05,0.00030778069575894103,0.00014546000244092147,0.00012303654154889067,0.00013838528001922209,0.00035250885481666783,0.00073773919474554549,0.0020024581509519627,0.00015924935573485301,7.5256730674868143e-05,0.00016823999710913155,,9.4226314441272542e-05,0.027313650609668866,0.00041192640065324849,0.00069870352062319295,0.00015616637846747959,0.0016665342692579101,0.0002873798807344244,0.00022233381097342336,0.00021251098324428445,0.00017432617986388251,0.00019748270233501761,0.00025808550355428238,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indoor Air Quality,0.00075473722785106257,0.00083974507769446233,0.0011348194360349948,0.0018470984531720764,,,,,,0.00062744932080873686,0.00053072455062594826,0.00071871646675739315,0.0018307866168955169,0.0038315152259135723,0.01039994750078786,0.00074187923697319658,0.00035059109452930358,0.00080936529407840685,,0.00045330189020518959,0.1313999122557617,0.0020172719549727807,0.0034216671103350351,0.00076477267563459161,,,,0.00093382223989295983,0.000766029413008478,0.00086778450986043601,0.0012415920891040468,,,,,,,,,,,0.0018448921546499247,0.013404314597846561,0.029470137656892326,0.054992407621776346,,0.00089693210350706644,0.00058006255822702375,0.0025225689586199831,0.0050871204127088728,0.13216698610896108,,,,,,,,,,,0.0038130113530574932
Indoor Sewage,0.00011558873628067723,0.00012860777068727895,0.0001737986940057514,0.00028288491425824589,2.0927885594815415e-05,2.2932698285635291e-05,4.3002963535361042e-05,2.4948573311298276e-05,0.00017308148774825124,0.0001034690459825496,8.7518722407738987e-05,0.00011093469236184332,0.00028258396672305663,0.00059139867044387341,0.0016052435556185266,0.00012289933689804458,5.807874232443007e-05,0.00013438671470097894,,7.52660785409436e-05,0.021817592932688888,0.00030251429172640712,0.00051312030579462068,0.00011468689867570656,,,,0.00014452096612037682,0.00011855287453562931,0.00013430078058935873,0.00020615349221689516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Industrial Waste,,,,,2.4365888867728744e-05,2.6700049335293194e-05,5.0067429207715911e-05,2.9047089442331154e-05,0.00020151506832490597,,,9.1544558297326491e-05,0.00023319147387356392,0.00048802884752067088,0.0013246650721255593,9.6282785580418314e-05,4.5500514772040554e-05,0.00010398128717572282,,5.8236885578834334e-05,0.016881292181781554,0.00025676557839755896,0.00043552200906938905,9.7342997268117131e-05,0.0010185215935008957,0.00017563552065212601,0.00013588186670929648,,,,0.00015951059986978733,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Investigations and Discipline (IAD),,,,,9.5876890756494828e-06,1.0506153611754323e-05,1.9700941207872197e-05,1.1429686133654748e-05,7.9293795914680166e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lead,0.0002043781853614738,0.0002273977866893988,0.00030730210262734279,0.00050018286645029547,4.7910776542792709e-05,5.2500448652994932e-05,9.8447851661180599e-05,5.7115446066620969e-05,0.00039624014789410556,0.00016382474910082626,0.00013857026131748433,0.00014768541284684302,0.00037619908525340342,0.00078731869122322445,0.0021370326286927932,0.00018952459544271819,8.9563950633769589e-05,0.00020996381758790872,,0.00011759460911364011,0.034087484859788492,0.00046946137757399595,0.00079629350482850214,0.00017797859775392087,0.0020144310402907335,0.00034737176593689525,0.00026874702692458339,0.00024225999893189351,0.00019872977623504122,0.0002251279370429223,0.00032209117047954177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Litter Basket / Request,0.00021521525104578861,0.00023945545686815243,0.00032359666491250298,0.00052670484857037219,5.4127354518644644e-05,5.931255140668424e-05,0.00011122177833423712,6.4526359638050594e-05,0.00044765358667121828,0.00017544711443119956,0.00014840097499045873,0.00019297130270090615,0.00049155584263101007,0.0010287401481125077,0.0027923270302995639,0.00020497250380189895,9.6864194163875624e-05,0.00021340636041378239,,0.00011952267692368597,0.034646379376968878,0.0005383826195054077,0.00091319670478566268,0.00020410749052418489,,,,0.00026105097145307985,0.00021414431342994965,0.00024259005583007797,0.00032737214060548909,,,,,,,,,,,,,,,,,,0.00071356314751243311,0.0014390019511907172,0.037386288403681939,,,,,,,,,,,0.0010785926677210926
Maintenance or Facility,0.00029344471201397894,0.0003264960881694249,0.00044122212381561435,0.0007181589216101403,,,,,,0.00024116820318895507,0.00020399079577893345,0.00027200339874121148,0.00069287431859217587,0.001450064402279777,0.003935934680482772,0.00027760078523966471,0.00013118626090203472,0.00031514681971194977,,0.00017650454017829648,0.051163874656850503,0.00074415188134069148,0.001262219509472009,0.00028211715528415936,,,,0.00035330359355812649,0.00028982062412450152,0.00032831878774156509,0.00048344523927999154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Missed Collection (All Materials),,,,,,,,,,,,,,,,0.0014613213349282503,0.00069057903326930309,0.0014970723511047446,,0.0008384665508822354,0.24304869138190852,,,,0.015148699795883746,0.002612266438758087,0.002021001439358891,,,,0.0022965565753156458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NONCONST,0.00082639232849132693,0.00091947086282061707,0.0012425597168863086,0.0020224628325486828,0.00016990041533435627,0.00018617623580817759,0.00034911416789644683,0.00020254186446046468,0.0014051403579156251,0.00080019801676501625,0.00067684308321825943,0.00087376376976903091,0.0022257386466161162,0.0046580805401968961,0.012643507911661377,0.0007940424166119497,0.0003752419343591016,0.00092744907310766543,,0.00051943717006974668,0.15057073452451369,0.0019737601764092342,0.0033478630695580546,0.0007482768237829689,,,,0.00087614419585256976,0.00071871518516913955,0.0008141853225214885,0.0014227363597651441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Tree Request,,,,,,,,,,,,,,,,,,0.0023683944570362311,,0.0013264686439866213,0.38450725045722695,,,,,,,,,,0.0036331923832765567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noise,0.0053636750201037711,0.0059677985002930291,0.0080647971728119196,0.013126735329009702,,,,,,0.0036782703536899497,0.0031112447106113189,0.0041144727164083017,0.01048079727290397,0.021934470112601214,0.059537108474953686,0.0061800728817300137,0.0029205272339423516,0.0046062348676950225,,0.0025798177751527474,0.74781913911164311,0.01179886541928566,0.020013062514907112,0.0044730953870229725,0.064317389554074705,0.011090995294942251,0.0085806398315393106,0.004476553205223598,0.0036721886431958675,0.0041599818071418049,0.0070661107093768355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noise - Commercial,0.0041227759017607732,0.0045871339615755034,0.006198986946829247,0.010089833533983551,,,,,,0.0039265435012408294,0.0033212451844290185,0.0044683406441369204,0.011382205124538447,0.023820958617827515,0.064657636584173256,0.0046487704421381299,0.0021968771146287855,0.0048112464536834614,,0.0026946387838152714,0.78110263249514578,,,,,,,0.0058002980280843809,0.0047580778267146615,0.0053901144846610384,0.0073806049991619665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noise - Helicopter,,,,,,,,,,0.00021446874812546305,0.0001814072088331937,0.00019932215674702173,0.00050773337456643712,0.0010625968845318508,0.002884224950716995,,,,,,,0.00061681117083782239,0.0010462260635410951,0.00023384072153489663,,,,0.000307615220706033,0.0002523417165315388,0.00028586139001850446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noise - House of Worship,,,,,3.5572991021863874e-05,3.8980749704791814e-05,7.3095967044846142e-05,4.2407312023484621e-05,0.00029420201968443,,,,,,,,,0.00015409630159322934,,8.6304843186262123e-05,0.025017431135768702,,,,,,,0.00017907353802280629,0.00014689690538178391,0.0001664098752241194,0.00023638862503512579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noise - Residential,0.012446390697499719,0.013848257297505488,0.018714335997740271,0.030460547269391847,0.0024500076248089955,0.0026847091361761723,0.0050343159643953025,0.0029207057045423472,0.020262484844697011,0.012851171406494839,0.01087009252147721,0.014292310535242048,0.036406805830522984,0.076193057988957716,0.20681212426102458,0.012033139415550405,0.0056865205387516965,0.014378677401300652,,0.0080530777540713458,2.3343686252771043,0.030930149178225785,0.052463265500718968,0.011726000991833536,,,,0.012903092678039157,0.010584614595691474,0.011990616069049151,0.02205734820092814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noise - Street/Sidewalk,0.0046053949041420629,0.0051241114905698423,0.0069246506664545713,0.011270966224771991,,,,,,,,,,,,0.0042611035502229805,0.0020136767321732568,0.0050444865884092943,,0.0028252697791352802,0.8189690118194457,0.012722635484677773,0.021579947754387319,0.0048233080109775809,,,,0.0056472754848863257,0.0046325509716715584,0.0052479133386892519,0.0077384027800353108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noise - Vehicle,0.0014487037290743686,0.0016118746772192894,0.0021782642860892426,0.0035454702886418875,0.00036408022935340619,0.00039895774533453099,0.00074811804354994607,0.00043402771159395089,0.0030110804778015069,0.0013646437825213143,0.0011542764239661817,,,,,0.0014209189864964871,0.000671486028839044,0.0016021642613668623,,0.00089732546405238336,0.26011029247632722,0.0041154068468991049,0.0069804927486201446,0.0015602014878903199,,,,0.001852491458173719,0.0015196285585045554,0.0017214875844424027,0.0024577709063042905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Emergency Police Matter,,,,,0.00010095570431596425,0.00011062688090503385,0.00020744544171541251,0.00012035142197760093,0.00083494165812949932,0.00044250229059877334,0.00037428812422059227,0.00046065482584233984,0.001173426141139427,0.0024557750667222131,0.0066657523882252545,0.00049513633051646942,0.00023398739229477005,0.00053676670718472022,,0.00030062737400064234,0.087143714639009079,0.0013532837582473103,0.0022954200672501246,0.00051304656178675521,,,,,,,0.00082341719148438695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Non-Residential Heat,0.00026186507366097761,0.00029135956000609275,0.00039373912435104573,0.00064087281592850446,,,,,,,,,,,,0.00025491678785728809,0.00012046644684842394,0.00027891548319578717,,0.00015621242554526437,0.045281741491561181,,,,,,,0.00031965107566243211,0.000262214922066205,0.00029704609739416871,0.0004278652173476744,0.00055426429409124079,0.00090358246898310452,0.0020564925085852022,0.00013732991324197214,0.00019286776353858191,0.00052184518530519627,0.00027934668099222309,0.0041314288348147134,8.9087275211317612e-05,0.0001284957223376637,0.00032669461484671986,0.0023736441091098365,0.0052185897408865908,0.0097380886910970188,0.0015700004224716642,0.00015834897981981268,0.00010240721005276874,0.00044241294905732317,0.00089218886813999167,0.02317969778097647,0.0015700004224716642,0.00096327075280875848,0.00096118388282518871,0.00011269654102488653,0.0014725846016693726,0.00020311936618850501,0.00010140609538350932,0.00044500839366265146,0.00025103527174712658,0.00013325130280287024,0.00066873319428226185
OUTSIDE BUILDING,0.00012576260725470775,0.00013992754895748058,0.00018909607976465352,0.000307783833571409,2.6851599425155743e-05,2.9423881610686248e-05,5.5175108145285058e-05,3.2010357365011268e-05,0.00022207282985517652,0.00011361207919195651,9.6098151157630778e-05,,,,,0.00012270661325886479,5.7987666596421574e-05,0.00013419040222631184,,7.5156129650759526e-05,0.021785721734189648,0.00031645590589941808,0.00053676786732601359,0.00011997233654018257,,,,0.00014503490190617376,0.00011897446433238037,0.00013477837203548735,0.00020585234264040316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other Enforcement,0.00036812165963768454,0.00040958407809514358,0.00055350603993889816,0.00090091878736646229,8.1113044678594463e-05,8.8883369139990286e-05,0.00016667241832685838,9.6696569392937568e-05,0.00067083539735325712,0.00031503676537164246,0.00026647211206956339,0.00031280122207250896,0.00079679862311019087,0.0016675597408564065,0.0045262860087418675,0.00034938521729528747,0.00016510954834599164,0.00037221841503182976,,0.00020846867581001419,0.060429409851150646,0.00092656002304968921,0.0015716175247492458,0.00035127033130905781,0.003980488249712354,0.00068640186977762298,0.00053104045828446071,0.00047655254984177079,0.0003909237266236342,0.00044285186539847789,0.00057099488068436573,,,,,,,,,,,0.00088100276842893862,0.0064010453076245553,0.014073057222486094,0.026260864753122063,,,,0.0012541059486632915,0.0025290836745390042,0.065707382519613652,,,,,,,,,,,0.0018956549052304612
Overgrown Tree/Branches,0.0013496963545654383,0.0015017158665348732,0.0020293972516335079,0.0033031656009179611,,,,,,0.001127158428782268,0.00095340074610116466,,,,,0.0011193917299578988,0.00052899279593555883,0.00099344852840795722,,0.00055640153963071391,0.16128570179434368,,,,0.01125274143602693,0.0019404410407118221,0.0015012381884498987,,,,0.001523981622177002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAINT - PLASTER,0.0013243924903337311,0.0014735619678650997,0.001991350477369183,0.0032412384469934895,0.00027833421134973403,0.0003049975814582522,0.00057192571543306222,0.00033180807709602125,0.0023019286479462934,,,,,,,0.0012454243711322555,0.00058855224902931496,0.0014917207974976874,,0.00083546930182379201,0.24217987024571194,0.0031607909201788599,0.0053612872114546127,0.0011982948175073035,,,,0.0014471563104333249,0.0011871256130501079,0.0013448167926315077,0.002288347121968003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAINT/PLASTER,0.006689764615419834,0.0074432487221128205,0.010058699409452898,0.016372127168564274,0.0013556555945649284,0.0014855222993522513,0.0027856234130994159,0.0016161055942628816,0.011211781817063563,,,,,,,0.005974479950186116,0.002823369843217227,0.0071307190345901734,,0.0039937077121430346,1.1576674491986179,0.015343862369080578,0.026026034360101362,0.0058170474484829753,,,,0.0067009531357278985,0.0054968997073226167,0.0062270773644799221,0.010938749669334266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLUMBING,0.0060141765249301449,0.0066915675374533178,0.0090428882535299529,0.014718733549068361,0.0011738619625644652,0.0012863135214741233,0.002412070867981648,0.0013993855756569726,0.0097082800826316165,0.0057925048981335332,0.0048995583501438324,,,,,0.0055108097467017059,0.0026042524504681719,0.0066620752004989759,,0.003731233972064471,1.0815834372829531,0.013851576263208702,0.02349484054903158,0.0052513033824998848,,,,0.0060708469213102915,0.0049800134382414242,0.0056415307913965061,0.010219835130655455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Panhandling,,,,,,,,,,2.5914538184436804e-05,2.1919669328651048e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.325295674269409e-05,1.911550494414432e-05,4.8683389778464728e-05,0.00035371578259215704,0.00077766399231490109,0.0014511508482267703,,,,,,,,,,,,,,,,,
Plumbing,0.00050145543634577856,0.00055793555533687541,0.00075398609538695712,0.0012272318452426956,,,,,,0.00043482268578618984,0.0003677923728061355,0.0004698391338593464,0.0011968213310101184,0.0025047370950522512,0.006798650861581333,0.00049985091454229176,0.00023621537104318076,0.00054986973084968538,,0.00030796599531068424,0.089270981736398122,0.0013260748083599699,0.0022492686454218648,0.00050273131333686055,,,,0.00064830299106476987,0.00053181337783721194,0.00060245651614239035,0.00084351764630347884,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Recycling Enforcement,7.5858116961129859e-05,8.4402197176167723e-05,0.00011405991692448202,0.00018565058848150489,1.8077123140315785e-05,1.9808843515077246e-05,3.7145169955430803e-05,2.1550119331465731e-05,0.00014950460968256218,6.5554681283475384e-05,5.5449065943295689e-05,7.0523945423986456e-05,0.00017964566198882921,0.0003759668564470418,0.0010204932875226109,7.4850347260920381e-05,3.5372152048855128e-05,8.0907165366269902e-05,,4.5313743077450379e-05,0.013135223993136005,0.00019926711911558956,0.00033799396554750922,7.5544622268881233e-05,0.00085981568619549462,0.00014826801579212454,0.00011470877123438792,9.7653029097325184e-05,8.0106351468453417e-05,9.074723472137789e-05,0.00012411416353721511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Request Xmas Tree Collection,,,,,,,,,,,,,,,,6.3682144023175945e-05,3.0094375826108516e-05,6.8192726656287023e-05,,3.8192756864796032e-05,0.011071043402374026,,,,0.00066054239359913936,0.00011390500501203595,8.8123545004447655e-05,,,,0.00010460981039134908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodent,0.0015011997779214858,0.001670283480960549,0.002257197104490653,0.0036739459581132906,0.00036077414391037245,0.00039533494934646375,0.00074132464480416993,0.00043008645748706786,0.0029837379073105403,0.001409078375791547,0.0011918611798396846,,,,,0.0013541337531572349,0.00063992522097719873,0.0016671859845975706,,0.00093374223440382295,0.27066652560090415,0.0038951102636989414,0.0066068289144519086,0.0014766843364463437,,,,0.0016536057589434309,0.0013564794184127301,0.0015366666178261127,0.0025575162966413999,,,,,,,,,,,,,,,,,,0.0059721858517130973,0.012043765325393295,0.31290554091941014,,,,,,,,,,,0.0090273101860451066
Root/Sewer/Sidewalk Condition,0.00082860471016206862,0.00092193243030321849,0.0012458862438247424,0.0020278772822552226,,,,,,0.00070420333102491411,0.00059564650723626907,,,,,0.00066599847161032924,0.00031473199609863799,0.00061207691742300434,,0.00034280642578669233,0.099370276723736828,,,,0.0070179015937403607,0.0012101783684970923,0.00093626445921664043,,,,0.00093894544794006672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAFETY,0.00062273718236932,0.00069287755300067233,0.00093634477274497205,0.0015240494888031364,0.00013642707216259014,0.0001494962723167959,0.00028033259178831431,0.0001626375868729601,0.0011283032159201463,0.00062698329281553767,0.00053033036341581477,0.00068436448512400284,0.0017432818063796325,0.0036483830079160288,0.0099028685801571432,0.00062795429956486511,0.00029675339897237507,0.00073380235618577443,,0.00041098129303257427,0.11913232000597887,0.0015675570643075183,0.0026588673070541691,0.00059428021458640765,,,,0.00071141306299013637,0.00058358358557766268,0.00066110359102817227,0.0011256761403929273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sanitation Condition,0.0014510117134017408,0.0016144426153132207,0.0021817345607439377,0.0035511187105345945,0.00034452554471670819,0.00037752979549160763,0.00070793675592929284,0.00041071616007443959,0.0028493558786281421,0.0012474080993920686,0.0010551132673850289,0.0011990422006137487,0.0030543204664289412,0.0063921569362279228,0.01735034121852317,,,0.0016278492882018589,,0.00091171089829259529,0.26428023934345646,,,,,,,,,,0.0024971725539411202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scaffold Safety,,,,,,,,,,,,,,,,,,3.5774182125389361e-05,,2.0036075794983041e-05,0.0058079144567847255,7.772140898641152e-05,0.00013182991427712111,2.9465144626684872e-05,,,,3.7785011754545977e-05,3.0995653282118326e-05,3.511294388239031e-05,5.4878732564912701e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
School Maintenance,,,,,3.0492585262531125e-05,3.3413660190682233e-05,6.265666572968853e-05,3.6350853287430774e-05,0.00025218515260981561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sewer,,,,,0.00060993839782684327,0.0006683682012124533,0.0012533114519252806,0.00072712041379510576,0.0050444200324187543,,,,,,,0.0022841907178586616,0.0010794437746431719,0.0022349772629379969,,0.0012517455656521751,0.36284705854366101,,,,0.021737570183449219,0.0037484619680563276,0.0029000284658656349,,,,0.003428526166483252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sidewalk Condition,0.00038570129739851772,0.00042914375228710554,0.00057993870268994638,0.00094394213445617029,9.1514726255337558e-05,0.00010028149267148523,0.00018804596471426466,0.0001090966331357575,0.0007568612175074096,0.00029674634506741341,0.00025100126083936404,0.00029553834172810645,0.00075282488413884029,0.0015755304192226374,0.0042764892424257128,0.00037800448753640375,0.00017863420408295409,0.00036303390467889941,,0.00020332469949418624,0.058938310759903641,0.00083846175083606843,0.0014221865272242957,0.00031787118986285456,0.0038143011414149661,0.00065774429444713273,0.00050886928916780982,0.00039236307871149252,0.00032186174844798729,0.00036461607723758298,0.00055690554984707413,0.0014536373373195081,0.0023697741822152579,0.0053934455570490121,0.00035944014883179914,0.00050480202014703155,0.0013658503573271746,0.00073114742608623435,0.010813386247883583,,,0.00078156317429257526,0.0056785534264994393,0.012484618288341347,0.023296776754423543,,0.00040776227648455855,0.00026370739582323851,0.0010390320436287127,0.0020953564423047012,0.054438842279327833,,,,,0.0038113422892777863,0.00052571338125357138,0.00026245917503657425,,,,0.00157055804758424
Smoking,,,,,,,,,,,,,,,,0.00024700357196808203,0.00011672688536512599,0.0002552367262243182,,0.00014295064452820433,0.041437511190187383,,,,,,,0.00031011875264822994,0.00025439540407741365,0.00028818787802293265,0.000391541251456514,,,,,,,,,,,0.0005388898904151628,0.003915377712739301,0.0086081775633416249,0.016063189624538426,,0.00027598407178387263,0.00017848399681860919,,,,,,,,,,,,,,
Snow,0.00088587604275212938,0.00098565436935800759,0.0013319991569718474,0.0021680396936674768,0.0002193376631475345,0.00024034938593532975,0.00045069863783092417,0.00026147704908711667,0.0018140049975332874,0.00076253835963518285,0.00064498886974776533,0.00079559432557242075,0.0020266176038897877,0.0042413551283084078,0.011512382977960742,0.00083548912758287137,0.00039482847491686122,0.00085011415366157122,,0.00047612413772172906,0.13801546225886255,0.0022776988309323358,0.0038633993586426945,0.00086350371596050264,0.0086120744925942509,0.001485080136791773,0.0011489444757581319,,,,0.0013041021350235188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special Enforcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00038173812270133342,0.00053611755985818934,0.0014505812803371899,0.00077650436869443795,0.01148419779962629,,,,,,,,,,,,,,,,,,,,,,,
Special Projects Inspection Team (SPIT),,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0028455500068613466,0.0023342504690101692,0.0026443193495483499,,,,,,,,,,,,,,,,,0.0025635556775180247,0.0016578988071049691,,,,,,,,,,,,,,
Standing Water,,,,,,,,,,,,,,,,,,0.00020319574398828199,,0.00011380400853043616,0.032988692653552205,,,,,,,,,,0.00031170873043516234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Street Condition,,,,,0.0013198942445188959,0.0014463351465375477,0.0027121404028336389,0.0015734737354784728,0.010916021997381318,0.0051746155431341119,0.0043769200439202358,0.0052752697904317226,0.013437695919795439,0.028122740270627208,0.076334036314074427,0.0049049430682158047,0.0023179370350161557,0.0053801643413268155,,0.0030132730960684634,0.87346606970206409,0.015083320921791984,0.025584107777585366,0.0057182729727533041,0.050560558710342721,0.0087187450027740795,0.0067453288602469935,,,,0.0082533431234870017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Street Light Condition,,,,,,,,,,,,,,,,,,0.0037821963990989985,,0.0021182978679497822,0.6140370468214339,,,,,,,,,,0.0058020095041340022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweeping/Missed,,,,,4.3627205506096252e-05,4.7806527629555142e-05,8.9645899440177353e-05,5.2008910790565614e-05,0.00036081340377570225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
