,Population under 18,population between 18 and 34,population between 35 to 64,population 65 and over,Population white,population black,Population asian,population hispanic,population other race,family households,nonfamily households,population education high school or less,population education bachelors,population education masters,population education phd,owner  occupied units,renter occupied units,transportation car,number of cars,transportation public,tranportation motorcycle,household income less than 40,household income from 40 to 75,household income 75 and above,house value less than 100,house value for 100 to 500,house value 500 or more,rent less than 1000,rent bewteen 1000 and 2000,rent 2000 or more,Transportation Other means,population between 18 and 34_n,population between 35 to 64_n,population 65 and over_n,Population white_n,population black_n,Population asian_n,population hispanic_n,population other _n,family households_n,nonfamily households_n,population education high school and less_n,population education bachelors_n,population education masters_n,population education phd_n,household income less than 10_n,owner  occupied units_n,renter occupied units_n,transportation car_n,transportation public_n,tranportation motorcycle_n,household income less than 10_n,household income form 10 to 40_n,household income form 40 to 75_n,household income 75 and above_n,house value less than 100_n,house value for 100 to 500_n,house value 500 or more_n,rent less than 1000_n,rent bewteen 1000 and 2000_n,rent 2000 or more_n,Transportation Other means_n
Bus Stop Shelter Placement,,,,,6.6241053021621719e-06,7.2586696643828832e-06,1.3611320526037311e-05,7.8967354826181713e-06,5.478384309322389e-05,2.2260867448694818e-05,1.8829232069331849e-05,2.3639122129923977e-05,6.0215941101057657e-05,0.00012602140142505989,0.0003420620515696469,2.5383160409270743e-05,1.1995361976710273e-05,2.9446586651275358e-05,,1.6492174160140015e-05,0.004780633578580936,6.7668984459322428e-05,0.00011477913919512176,2.5654146519441354e-05,,,,3.3748558675585052e-05,2.768448585579194e-05,3.1361939347413411e-05,4.5171999966925329e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00078746641639214701,0.0011059272011895299,0.0029923237281867352,0.0016018078262701114,0.023690115156472721,,,,,,,,,,,,,,,,,,,,,,,
Consumer Complaint,0.0016179776863354351,0.0018002143630680635,0.0024327838322647536,0.0039597411806574761,0.00041817404247900702,0.00045823354220893015,0.00085927090047807902,0.00049851408583072819,0.0034584566645326853,0.0014179053810917776,0.0011993274536341949,0.0015457419976519643,0.0039374689371487765,0.0082404317603269085,0.022367145277568549,0.0016020632437720515,0.00075708966924424451,0.0017069867885226228,,0.00095603350360317241,0.27712815940423602,0.0042853613328006461,0.0072687670555273923,0.0016246333294170001,,,,0.0020214902861717134,0.0016582610171031677,0.0018785352096285816,0.0026185719950446709,0.0047054822490558059,0.0076710538883424887,0.017458799164268297,0.0010503943810673386,0.0014751863620054619,0.0039914337487842629,0.0021366370745973958,0.031600031860667017,0.00076025455597295987,0.0010965590551346757,0.0025721404392742048,0.018688235814205076,0.041087134891445137,0.076670170199657134,0.013283606481967377,0.0013215756551724577,0.00085468738651726841,0.0036726284483582349,0.0074063795497425859,0.19242297874904679,0.013283606481967377,0.0081501313201913853,0.0081324745353625449,0.00095351343950386951,0.012384567474611986,0.0017082519354815005,0.00085283428143300669,0.0037724654462172628,0.0021280989346140443,0.0011296100088133028,0.0055513939158328869
Curb Condition,,,,,,,,,,,,0.00012111556456084364,0.00030851770475795427,0.00064567343476024097,0.0017525624793931988,,,,,,,,,,,,,0.00015966157790491399,0.00013097296206666486,0.00014837068363422284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DOOR/WINDOW,0.0028283155008939106,0.0031468754056362732,0.0042526422219719088,0.0069218490807169651,0.00056499128959615732,0.0006191153291439308,0.0011609533946572808,0.00067353801915979051,0.0046726905365122957,,,,,,,0.0025510798413900838,0.001205568007905989,0.003114356398123479,,0.0017442601658000383,0.50561367091056852,0.0065191335814826987,0.01105765878946202,0.0024714839363327761,,,,0.0028583634274650972,0.002344761524160072,0.002656226634942983,0.0047775217134354824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damaged Tree,0.0015666060056729622,0.0017430565677754792,0.002355541608711602,0.0038340172221896047,,,,,,0.0013619736769986176,0.0011520179299226625,,,,,0.0012604119196511256,0.00059563493955045637,0.001140645594800602,,0.00063884232244735466,0.18518304672599489,,,,0.01336382377536054,0.00230447951390109,0.0017828795506714713,,,,0.0017497866011025323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dead Tree,0.0010378755408204498,0.0011547739325711917,0.0015605449054923283,0.002540034114247895,,,,,,,,,,,,0.0008672195139589672,0.00040982335593660741,0.00094954791903579042,,0.00053181408900099215,0.15415846732842103,,,,0.0093358601619221143,0.001609890915163194,0.0012455053621185852,,,,0.0014566366918938299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derelict Vehicle,,,,,,,,,,,,,,,,0.0012915594071696637,0.00061035435909576529,0.0012484635833673804,,0.00069922803255010051,0.20268722480345885,,,,,,,,,,0.0019151828228667124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derelict Vehicles,0.0012167055770831584,0.0013537460213379141,0.0018294329282490538,0.0029776919786970277,,,,,,0.00099926099961875764,0.00084521941038543259,0.0010384280559291668,0.0026451880196668547,0.0055359144966571124,0.015026227677421504,,,0.001308368814529068,,0.00073277920495327595,0.21241279887476841,,,,,,,,,,0.0020070793517276281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dirty Conditions,0.0016656165771651559,0.0018532189355269914,0.0025044134501367166,0.0040763297340178986,0.00040808708552478225,0.00044718029273451906,0.00083854405542151253,0.00048648921194080523,0.0033750337354183212,0.0014550595197567406,0.0012307540770966933,0.0014774012413950916,0.0037633845134147723,0.0078761035999745672,0.021378243102497706,0.0017765399680462447,0.00083954242258284066,0.001796292273257105,,0.0010060509003608714,0.29162684490993362,0.0044246876380572347,0.0075050902915322279,0.0016774536499467633,,,,0.0023233240268059857,0.001905860092480434,0.0021590239723567831,0.0027555694474572937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
