,Unnamed: 0,BoroCT2010,311 calls,Total Households,Median Income,Total cars,Total educated,Total High School,Total bachelors,Total masters,Total PHD,Median Age,Total households,Total family households,Total non-family households,Median House Value,Total Hunits,Owner Occupied,Renter Occupied,Total Population,White only,Black only,Asian only,Hispanic only,Other Only,Median Rent,Normalized 311 calls,Normalized cars,Normalized High school,Normalized bachelors,Normalized masters,Normalized PHD,Normalized familiy household,Normalized non-family household,Normalized owner ocuppied,Normalized renter ocuppied,Normalized white only,Normalized black only,Normalized asian only,Normalized hispanic only,Normalized other only
1260,1260,3102800,340,469.0,70924.0,600.0,999.0,147.0,221.0,141.0,0.0,38.5,469.0,380.0,89.0,488600.0,1502.0,928.0,574.0,1523.0,29.0,1358.0,97.0,39.0,0.0,1324.0,0.223243598162,1.27931769723,96.520026264,145.108338805,92.5804333552,0.0,0.810234541578,0.189765458422,0.617842876165,0.382157123835,0.0190413657255,0.89166119501,0.0636900853578,0.0256073539068,0.0
1261,1261,3103400,140,1601.0,17092.0,430.0,2137.0,381.0,296.0,24.0,0.0,31.0,1601.0,1017.0,584.0,0.0,3697.0,0.0,3697.0,3697.0,502.0,2056.0,0.0,843.0,296.0,361.0,0.0378685420611,0.268582136165,103.056532324,80.0649175007,6.49175006762,0.0,0.635227982511,0.364772017489,0.0,1.0,0.135785772248,0.556126589126,0.0,0.228022721125,0.0800649175007
1262,1262,3105804,412,2981.0,27724.0,1161.0,4401.0,937.0,390.0,509.0,0.0,41.7,2981.0,1769.0,1212.0,370100.0,6184.0,483.0,5701.0,6200.0,1420.0,3051.0,221.0,1380.0,128.0,629.0,0.0664516129032,0.389466621939,151.129032258,62.9032258065,82.0967741935,0.0,0.593425025159,0.406574974841,0.0781047865459,0.921895213454,0.229032258065,0.492096774194,0.0356451612903,0.222580645161,0.0206451612903
1263,1263,3107000,358,352.0,66563.0,344.0,536.0,123.0,57.0,78.0,0.0,34.5,352.0,228.0,124.0,244200.0,865.0,471.0,394.0,913.0,23.0,731.0,0.0,151.0,8.0,1197.0,0.392113910186,0.977272727273,134.720700986,62.4315443593,85.4326396495,0.0,0.647727272727,0.352272727273,0.54450867052,0.45549132948,0.0251916757941,0.800657174151,0.0,0.165388828039,0.00876232201533
1264,1264,3107800,607,1729.0,60319.0,1314.0,3041.0,758.0,480.0,259.0,10.0,50.9,1729.0,951.0,778.0,305800.0,3661.0,1986.0,1675.0,3704.0,91.0,3215.0,13.0,342.0,43.0,1140.0,0.163876889849,0.75997686524,204.64362851,129.589632829,69.9244060475,2.69978401728,0.55002891845,0.44997108155,0.542474733679,0.457525266321,0.0245680345572,0.867980561555,0.00350971922246,0.0923326133909,0.0116090712743
1265,1265,3109800,768,612.0,45714.0,363.0,1235.0,300.0,295.0,24.0,7.0,31.1,612.0,400.0,212.0,345200.0,1728.0,408.0,1320.0,2054.0,129.0,1644.0,44.0,187.0,50.0,1433.0,0.373904576436,0.593137254902,146.05647517,143.622200584,11.6845180136,3.40798442064,0.653594771242,0.346405228758,0.236111111111,0.763888888889,0.0628042843233,0.800389483934,0.0214216163583,0.0910418695229,0.0243427458617
1266,1266,3110400,1354,1618.0,34462.0,733.0,2745.0,984.0,185.0,108.0,0.0,31.7,1618.0,1030.0,588.0,375300.0,4714.0,1546.0,3168.0,4725.0,80.0,3625.0,0.0,1004.0,16.0,891.0,0.286560846561,0.453028430161,208.253968254,39.1534391534,22.8571428571,0.0,0.636588380717,0.363411619283,0.327959270259,0.672040729741,0.0169312169312,0.767195767196,0.0,0.212486772487,0.00338624338624
1267,1267,3110600,122,1583.0,27846.0,493.0,2340.0,605.0,209.0,0.0,0.0,27.0,1583.0,1281.0,302.0,0.0,4513.0,0.0,4513.0,4513.0,0.0,3399.0,0.0,1090.0,24.0,535.0,0.0270330157323,0.311433986102,134.057168181,46.3106580988,0.0,0.0,0.809222994315,0.190777005685,0.0,1.0,0.0,0.75315754487,0.0,0.241524484822,0.005317970308
1268,1268,3111600,1195,983.0,36463.0,546.0,1939.0,760.0,104.0,73.0,0.0,31.5,983.0,641.0,342.0,433600.0,3099.0,626.0,2473.0,3406.0,127.0,2564.0,0.0,707.0,8.0,1369.0,0.350851438638,0.555442522889,223.135642983,30.534351145,21.4327657076,0.0,0.652085452696,0.347914547304,0.202000645369,0.797999354631,0.0372871403406,0.752789195537,0.0,0.20757486788,0.00234879624193
1269,1269,3111800,894,901.0,30564.0,271.0,1747.0,921.0,148.0,39.0,0.0,32.4,901.0,527.0,374.0,432900.0,2730.0,740.0,1990.0,2735.0,41.0,2372.0,0.0,287.0,35.0,1286.0,0.326873857404,0.300776914539,336.745886654,54.113345521,14.2595978062,0.0,0.584905660377,0.415094339623,0.271062271062,0.728937728938,0.0149908592322,0.867276051188,0.0,0.104936014625,0.0127970749543
1270,1270,3112000,593,1130.0,26719.0,569.0,2250.0,922.0,207.0,98.0,0.0,33.0,1130.0,849.0,281.0,436000.0,3547.0,1351.0,2196.0,3552.0,57.0,2395.0,0.0,1094.0,6.0,1194.0,0.166948198198,0.503539823009,259.572072072,58.277027027,27.5900900901,0.0,0.751327433628,0.248672566372,0.380885255145,0.619114744855,0.0160472972973,0.674268018018,0.0,0.307995495495,0.00168918918919
