,Neighborhood,population between 18 and 34_n,population between 35 to 64_n,population 65 and over_n,Population white_n,population black_n,Population asian_n,population hispanic_n,population other _n,family households_n,nonfamily households_n,population education high school and less_n,population education bachelors_n,population education masters_n,population education phd_n,household income less than 10_n,owner  occupied units_n,renter occupied units_n,cars per capita,transportation car_n,transportation public_n,tranportation motorcycle_n,total workers,household income form 10 to 40_n,household income form 40 to 75_n,household income 75 and above_n,house value less than 100_n,house value for 100 to 500_n,house value 500 or more_n,rent less than 1000_n,rent bewteen 1000 and 2000_n,Transportation Other means_n,rent 2000 or more_n
108,Midwood,10033.73485,15091.14932,5314.115832,13762.16525,6840.272757,3472.547913,5789.382821,574.6312582,20423.1338,9983.866198,7346.384337,5087.471808,2358.461606,274.4756984,5327.907783,9874.019836,17642.90603,6452.123612,6921.769027,5848.29236,73.80198796,30481,15576.18746,11235.14387,14959.70956,1751.449644,12570.21364,15569.33672,9410.300511,18418.40066,1989.283401,2562.298828
109,Morningside Heights,26500.49775,33995.96518,11375.53707,31071.98657,11775.09045,7769.010842,19307.2606,1948.651539,39815.17108,31996.82892,11548.26877,15342.49679,9308.569586,2072.075349,14668.18356,20535.49666,43526.09677,14128.39316,15310.82696,14902.48829,243.3432716,71956,36686.39396,29565.55073,62801.50034,4855.549124,30040.2774,35381.17348,20198.27234,35721.64806,7026.027783,15859.0796
110,Morrisania-Melrose,2436.824011,3477.983915,1035.192074,1328.069923,1942.304993,482.302315,3041.138784,156.1839855,4558.944838,2378.055162,1574.444062,916.2082672,407.5020911,53.44267405,1519.588827,1623.693361,4666.601125,1399.752831,1449.994387,1289.805958,11.28681888,6968,3909.950718,2559.917894,3044.823017,721.7561505,4017.62797,1851.615879,2668.859774,3677.405293,417.5487636,584.7349343
111,Mott Haven-Port Morris,15053.79495,21141.73171,6390.473339,9281.982747,10962.09451,3224.7772,18192.12245,925.0230948,27549.32437,14976.67562,9550.07381,5844.719337,2628.406138,342.4029394,9373.182163,10131.55065,28403.65366,8619.328475,8792.692337,8050.78641,82.64410057,42663,24329.96645,15787.07674,19955.03312,4240.701855,23163.50572,12938.79243,16340.0649,22269.57293,2683.089916,3891.362179
112,Mount Hope,3664.49259,5257.122092,1560.385318,1986.012039,2914.823211,647.1044945,4709.549216,224.5110392,6874.600453,3593.399546,2360.94365,1370.293267,630.3834608,84.27847337,2224.198691,2457.700562,7061.462821,2096.915152,2269.797786,1926.6269,17.0608694,10488,5956.159799,3879.693468,4593.884403,1183.457734,6080.466816,2628.07545,3906.342488,5740.937996,638.3555075,818.7195173
113,Murray Hill,3532.010019,6094.636612,2109.35337,3728.278715,1773.597076,3131.151991,2721.980654,380.991564,8213.213387,3508.786613,2778.128185,2060.896704,924.6078205,106.8347841,1403.392183,5230.30241,5440.967419,2456.618771,3858.504439,2158.999734,18.02530199,11776,4937.849269,4272.744095,6798.989288,566.8714018,5778.179271,5303.949327,2564.814435,7408.993245,612.5254043,1711.192319
114,Murray Hill-Kips Bay,71438.79514,101549.059,33431.14584,90503.76895,36207.68784,25380.96672,48909.40059,5417.175912,121938.9916,84329.00836,39351.26658,44474.17164,22893.98914,3363.949469,33903.52575,71232.18869,113006.5373,42288.87142,54005.29696,42706.08015,698.5141236,206632,99189.66804,84791.15589,181184.4578,12325.43409,92359.32798,96361.23793,54675.79196,106800.7921,18541.17815,44590.41593
115,New Brighton-Silver Lake,3164.004908,5611.223801,1800.771291,5892.788287,1383.315392,981.1236372,2114.260522,204.5121614,7516.421353,3054.578647,2776.204732,1794.945162,891.9988005,91.22088643,1225.159054,5875.674131,3706.10535,2398.346265,4283.83153,1817.96006,12.47306844,10592,3749.117179,3383.958902,7102.502655,393.3759083,6497.086589,3635.537502,3166.685934,6192.894203,402.021593,1208.419863
116,New Dorp-Midland Beach,2860.500154,5176.336308,1759.163537,5857.102394,1061.917392,890.9622052,1818.98376,167.0342499,7052.098574,2732.901425,2632.664001,1619.967945,788.1478584,81.33019206,1052.761101,5606.472802,3332.109322,2134.866074,3997.523911,1698.051384,11.22727344,9800,3549.24609,3107.514516,6322.818533,421.6199412,5768.529462,3546.850596,2784.47001,5845.951437,364.8121894,1151.578553
117,New Springville-Bloomfield-Travis,7028.20909,12395.73216,4063.05875,12921.45252,3338.632134,2158.446029,4615.859628,452.609693,16957.19946,6517.800538,6204.64808,3927.107203,1916.534558,199.7621952,2663.065361,13364.18117,8069.633332,4971.72336,9921.855379,4025.115075,27.16248329,23499,8377.484888,7510.015673,15352.74539,1022.825684,14563.01937,7758.154952,6998.776861,13515.41449,903.0878055,2944.808653
